,Week,Genre,Play Share,Total Plays
92,2005-07-03 12:00:00,Rock,0.6835443037974683,79
93,2005-07-03 12:00:00,Metal,0.08860759493670886,79
94,2005-07-03 12:00:00,Jazz,0.16455696202531644,79
95,2005-07-03 12:00:00,other,0.05063291139240506,79
96,2005-07-03 12:00:00,Indie,0.012658227848101266,79
97,2005-07-10 12:00:00,Rock,0.7,30
98,2005-07-10 12:00:00,Jazz,0.3,30
99,2005-07-17 12:00:00,folk,0.2,45
100,2005-07-17 12:00:00,Jazz,0.37777777777777777,45
101,2005-07-17 12:00:00,other,0.2222222222222222,45
102,2005-07-17 12:00:00,Pop,0.06666666666666667,45
103,2005-07-17 12:00:00,Hip Hop,0.044444444444444446,45
104,2005-07-17 12:00:00,Rock,0.08888888888888889,45
105,2005-07-24 12:00:00,folk,0.35185185185185186,54
106,2005-07-24 12:00:00,Rock,0.46296296296296297,54
107,2005-07-24 12:00:00,Metal,0.09259259259259259,54
108,2005-07-24 12:00:00,Jazz,0.05555555555555555,54
109,2005-07-24 12:00:00,Pop,0.018518518518518517,54
110,2005-07-24 12:00:00,Hip Hop,0.018518518518518517,54
111,2005-07-31 12:00:00,Jazz,0.6091954022988506,87
112,2005-07-31 12:00:00,other,0.12643678160919541,87
113,2005-07-31 12:00:00,Rock,0.1724137931034483,87
114,2005-07-31 12:00:00,Hip Hop,0.011494252873563218,87
115,2005-07-31 12:00:00,folk,0.04597701149425287,87
116,2005-07-31 12:00:00,Metal,0.022988505747126436,87
117,2005-07-31 12:00:00,Indie,0.011494252873563218,87
118,2005-08-07 12:00:00,Metal,0.18181818181818182,55
119,2005-08-07 12:00:00,Jazz,0.2545454545454545,55
120,2005-08-07 12:00:00,folk,0.05454545454545454,55
121,2005-08-07 12:00:00,Classical,0.01818181818181818,55
122,2005-08-07 12:00:00,Rock,0.3090909090909091,55
123,2005-08-07 12:00:00,other,0.12727272727272726,55
124,2005-08-07 12:00:00,Pop,0.01818181818181818,55
125,2005-08-07 12:00:00,Indie,0.01818181818181818,55
126,2005-08-07 12:00:00,Electronic,0.01818181818181818,55
127,2005-08-14 12:00:00,Rock,0.3493150684931507,146
128,2005-08-14 12:00:00,Jazz,0.2876712328767123,146
129,2005-08-14 12:00:00,Metal,0.0821917808219178,146
130,2005-08-14 12:00:00,Electronic,0.0410958904109589,146
131,2005-08-14 12:00:00,other,0.10273972602739725,146
132,2005-08-14 12:00:00,Hip Hop,0.0410958904109589,146
